ExhibitionId|BoothNum|NewNav|Sharp|NewSPC|Hall|Fx
353|2B83|796,266,818,285|rect||2H|
353|2B84|795,284,818,301|rect||2H|
353|2B85|818,267,843,283|rect||2H|
353|2B86|818,283,842,302|rect||2H|
353|2B87|842,266,865,283|rect||2H|
353|2B88|841,283,865,301|rect||2H|
353|2B89|864,266,891,285|rect||2H|
353|2B90|865,284,891,302|rect||2H|
353|2B91|914,266,986,302|rect||2H|
353|2B93|986,266,1058,302|rect||2H|
353|2C01|254,324,341,369|rect||2H|
353|2C21|340,324,375,368|rect||2H|
353|2C41|392,324,430,342|rect||2H|
353|2C43|392,342,415,358|rect||2H|
353|2C45|393,358,392,373,421,373,421,354,414,354,414,359,416,358,414,358|poly||2H|
353|2C47|430,324,447,342|rect||2H|
353|2C49|421,353,442,374|rect||2H|
353|2C51|447,324,470,342|rect||2H|
353|2C54|464,362,470,374|rect||2H|
353|2C55|470,345,482,345,482,350,487,350,487,324,470,324|poly||2H|
353|2C57|470,354,488,374|rect||2H|
353|2C53|415,342,470,342,470,346,481,345,481,350,487,350,487,354,469,355,470,362,464,362,464,373,441,373,442,353,414,353|poly||2H|
353|2C59|487,324,539,374|rect||2H|
353|2C61|611,324,669,374|rect||2H|
353|2C63|668,324,709,323,709,357,680,356,680,373,669,373|poly||2H|
353|2C65|681,356,709,373|rect||2H|
353|2C67|709,325,756,351|rect||2H|
353|2C69|709,350,756,374|rect||2H|
353|2C71|772,325,796,350|rect||2H|
353|2C72|772,349,796,373|rect||2H|
353|2C73|796,323,818,349|rect||2H|
353|2C74|795,349,819,374|rect||2H|
353|2C75|818,323,842,349|rect||2H|
353|2C76|818,349,842,374|rect||2H|
353|2C77|842,325,891,374|rect||2H|
353|2C81|914,324,950,384|rect||2H|
353|2C83|914,384,950,471|rect||2H|
353|2C91|965,324,982,342|rect||2H|
353|2C92|965,342,1012,359|rect||2H|
353|2C93|982,325,994,342|rect||2H|
353|2C95|994,324,1011,342|rect||2H|
353|2C97|1012,325,1058,358|rect||2H|
353|2D01|179,397,232,397,232,344|poly||2H|
353|2D100|1018,444,1058,471|rect||2H|
353|2D101|1034,428,1058,444|rect||2H|
353|2D11|104,470,230,471,230,397,179,396|poly||2H|
353|2D21|254,385,283,419|rect||2H|
353|2D23|282,385,295,396|rect||2H|
353|2D24|283,402,300,419|rect||2H|
353|2D25|295,385,346,384,346,418,300,419,300,402,282,402,282,396,294,395|poly||2H|
353|2D27|346,385,375,402|rect||2H|
353|2D28|346,402,376,419|rect||2H|
353|2D31|254,437,341,472|rect||2H|
353|2D35|341,436,354,448|rect||2H|
353|2D36|341,454,359,472|rect||2H|
353|2D37|353,436,375,454|rect||2H|
353|2D38|358,453,376,471|rect||2H|
353|2D41|392,390,428,414|rect||2H|
353|2D43|392,414,422,471|rect||2H|
353|2D45|426,390,442,407|rect||2H|
353|2D47|441,390,456,407|rect||2H|
353|2D51|422,472,540,472,539,390,456,390,456,408,427,407,426,414,420,414|poly||2H|
353|2D61|611,390,686,437|rect||2H|
353|2D63|610,437,686,471|rect||2H|
353|2D65|686,390,756,413|rect||2H|
353|2D67|686,412,756,472|rect||2H|
353|2D71|772,390,848,473|rect||2H|
353|2D77|847,391,891,431|rect||2H|
353|2D79|847,430,890,471|rect||2H|
353|2D81|966,374,988,394|rect||2H|
353|2D82|965,393,1000,411|rect||2H|
353|2D83|988,376,1000,393|rect||2H|
353|2D85|1000,375,1059,410|rect||2H|
353|2D91|965,427,983,446|rect||2H|
353|2D92|965,446,983,471|rect||2H|
353|2D93|983,427,994,445|rect||2H|
353|2D94|982,445,994,471|rect||2H|
353|2D95|994,427,1006,446|rect||2H|
353|2D96|994,446,1018,471|rect||2H|
353|2D97|1005,428,1017,446|rect||2H|
353|2D99|1017,428,1035,445|rect||2H|
353|2J01|86,506,110,523|rect||2H|
353|2J02|86,522,125,557|rect||2H|
353|2J03|86,556,121,613|rect||2H|
353|2J06|115,506,134,524|rect||2H|
353|2J07|134,506,157,524|rect||2H|
353|2J08|124,524,156,557|rect||2H|
353|2J09|122,557,156,612|rect||2H|
353|2J11|173,506,213,527|rect||2H|
353|2J12|174,526,207,578|rect||2H|
353|2J13|173,579,202,614|rect||2H|
353|2J14|221,507,237,506,236,546,207,546,207,528,213,528,212,519,221,521|poly||2H|
353|2J15|207,546,237,580|rect||2H|
353|2J16|202,579,237,614|rect||2H|
353|2J21|259,506,282,533|rect||2H|
353|2J22|259,533,282,558|rect||2H|
353|2J23|259,558,282,575|rect||2H|
353|2J24|259,575,282,593|rect||2H|
353|2J25|260,592,283,610|rect||2H|
353|2J26|282,506,306,536|rect||2H|
353|2J27|282,535,306,558|rect||2H|
353|2J28|282,558,306,575|rect||2H|
353|2J29|282,575,306,593|rect||2H|
353|2J30|282,593,306,610|rect||2H|
353|2J31|323,506,346,530|rect||2H|
353|2J32|322,529,346,552|rect||2H|
353|2J33|322,552,346,576|rect||2H|
353|2J34|322,576,346,610|rect||2H|
353|2J35|346,506,374,543|rect||2H|
353|2J36|346,543,374,575|rect||2H|
353|2J37|346,575,375,610|rect||2H|
353|2J41|392,506,412,525|rect||2H|
353|2J42|392,524,412,543|rect||2H|
353|2J44|391,543,413,562|rect||2H|
353|2J45|412,506,446,530|rect||2H|
353|2J46|412,530,447,562|rect||2H|
353|2J47|446,506,539,545|rect||2H|
353|2J48|446,544,465,562|rect||2H|
353|2J50|464,543,482,562|rect||2H|
353|2J52|481,544,498,562|rect||2H|
353|2J54|498,543,516,561|rect||2H|
353|2J56|516,545,539,562|rect||2H|
353|2J61|611,506,646,547|rect||2H|
353|2J63|611,547,646,599|rect||2H|
353|2J65|646,506,674,546|rect||2H|
353|2J67|646,546,674,576|rect||2H|
353|2J69|646,575,674,599|rect||2H|
353|2J71|691,506,726,558|rect||2H|
353|2J73|692,558,718,599|rect||2H|
353|2J75|726,506,758,558|rect||2H|
353|2J77|718,558,758,598|rect||2H|
353|2J81|775,506,850,530|rect||2H|
353|2J83|775,530,775,604,856,604,856,558,850,558,850,529|poly||2H|
353|2J85|850,507,897,558|rect||2H|
353|2J87|855,558,897,605|rect||2H|
353|2J91|919,506,957,570|rect||2H|
353|2J92|918,570,960,613|rect||2H|
353|2J94|959,570,999,613|rect||2H|
353|2J96|999,570,1057,613|rect||2H|
353|2K41|392,578,415,597|rect||2H|
353|2K42|392,596,410,614|rect||2H|
353|2K43|415,578,438,595|rect||2H|
353|2K44|409,595,433,614|rect||2H|
353|2K45|438,578,453,596|rect||2H|
353|2K46|433,595,456,613|rect||2H|
353|2K47|453,578,475,596|rect||2H|
353|2K48|455,595,472,613|rect||2H|
353|2K49|476,579,499,595|rect||2H|
353|2K50|472,595,495,613|rect||2H|
353|2K51|498,578,516,595|rect||2H|
353|2K52|494,596,516,613|rect||2H|
353|2K60|516,578,539,614|rect||2H|
353|2L01|86,636,114,662|rect||2H|
353|2L02|86,662,114,687|rect||2H|
353|2L03|113,636,140,662|rect||2H|
353|2L04|113,662,140,688|rect||2H|
353|2L05|139,636,168,656|rect||2H|
353|2L06|139,656,169,688|rect||2H|
353|2L07|168,636,197,659|rect||2H|
353|2L08|167,658,198,688|rect||2H|
353|2L09|196,636,231,662|rect||2H|
353|2L10|197,661,231,688|rect||2H|
353|2L21|254,633,271,650|rect||2H|
353|2L22|254,650,272,667|rect||2H|
353|2L23|254,667,272,696|rect||2H|
353|2L24|254,696,272,713|rect||2H|
353|2L25|254,714,272,752|rect||2H|
353|2L26|271,633,289,650|rect||2H|
353|2L27|271,650,289,679|rect||2H|
353|2L28|271,678,289,702|rect||2H|
353|2L29|271,702,289,725|rect||2H|
353|2L30|271,724,289,751|rect||2H|
353|2L31|306,633,340,671|rect||2H|
353|2L32|306,670,340,708|rect||2H|
353|2L33|306,707,340,750|rect||2H|
